time	V(n003)
Step Information: Temp=-10  (Step: 1/5)
2.101897353676144e-03	-2.559057e-01
2.111897353676144e-03	-1.619484e+00
2.119801261224403e-03	-2.361877e+00
2.124509946783718e-03	-2.515259e+00
2.126317807648904e-03	-2.506749e+00
2.128644864822817e-03	-2.440530e+00
2.132415034812575e-03	-2.209196e+00
2.138407308779843e-03	-1.584209e+00
2.146683910187436e-03	-4.554828e-01
2.154851810468823e-03	6.045508e-01
2.164851810468823e-03	1.484750e+00
2.172304734871729e-03	1.765534e+00
2.175490136943977e-03	1.786230e+00
2.177298050391884e-03	1.771631e+00
2.180236946000691e-03	1.707135e+00
2.184968359235960e-03	1.496197e+00
2.192330116509004e-03	9.093828e-01
2.202330116509004e-03	-3.157579e-01
2.212330116509004e-03	-1.671968e+00
2.220976257312167e-03	-2.423176e+00
2.224977602706463e-03	-2.516656e+00
2.226491675336385e-03	-2.503804e+00
2.228927551013987e-03	-2.428312e+00
2.232870333358377e-03	-2.171696e+00
2.239116316586475e-03	-1.494908e+00
2.247259728791349e-03	-3.750247e-01
2.255631057432366e-03	6.924064e-01
2.265631057432366e-03	1.529419e+00
2.272683594789396e-03	1.771126e+00
2.275633902099668e-03	1.785775e+00
2.277532089237464e-03	1.768366e+00
2.280616344726340e-03	1.695150e+00
2.285572412648851e-03	1.459844e+00
2.293237370260908e-03	8.162320e-01
2.303237370260908e-03	-4.421194e-01
2.313237370260908e-03	-1.778596e+00
2.321473362618233e-03	-2.444592e+00
2.325171125654453e-03	-2.516473e+00
2.326778645002507e-03	-2.498375e+00
2.329393875820463e-03	-2.406447e+00
2.333619693153234e-03	-2.105913e+00
2.340274695218941e-03	-1.344257e+00
2.348234389474767e-03	-2.399521e-01
2.356969274862738e-03	8.362530e-01
2.366969274862738e-03	1.597797e+00
2.373303719868166e-03	1.778438e+00
2.375867507440266e-03	1.784783e+00
2.377912308577446e-03	1.762349e+00
2.381231971348418e-03	1.673922e+00
2.386548337755733e-03	1.396564e+00
2.394684207877421e-03	6.589938e-01
2.404684207877421e-03	-6.453354e-01
2.414684207877421e-03	-1.937576e+00
2.422221416426889e-03	-2.471691e+00
2.425458396805696e-03	-2.515398e+00
2.427246376193702e-03	-2.487537e+00
2.430153134287105e-03	-2.365604e+00
2.434834667689915e-03	-1.989143e+00
2.442128162796914e-03	-1.093589e+00
2.449977896133210e-03	-3.347705e-03
2.459293280660589e-03	1.063793e+00
2.469136393238991e-03	1.686132e+00
2.474237824205918e-03	1.785219e+00
2.476216530358703e-03	1.782883e+00
2.478480154827915e-03	1.751797e+00
2.482149416755889e-03	1.637669e+00
2.487991967145435e-03	1.292783e+00
